horse_id,horse_name,horse_expected_top3_rate,prev_finish,prev_last_3f,prev_odds,prev_popularity,prev_race_date,prev_jockey_id
2007102361,アキノフェザー,0.10557581771446366,12.0,41.8,121.7,10,2010-01-23,01111
2004104184,ヤマカツシリウス,0.10557581771446366,15.0,35.9,170.5,15,2010-01-23,01112
2004101010,コパノスケ,0.0,16.0,39.0,269.4,14,2010-01-23,00722
2005102477,ヴェルザンディ,0.10557581771446366,13.0,37.7,3.5,1,2010-01-23,01127
2007102650,ディガジェ,0.10557581771446366,15.0,37.8,8.1,4,2010-01-23,00635
2007105722,タイガーバローズ,0.10557581771446366,9.0,39.7,5.6,4,2010-01-23,00685
2005101502,メイショウカポネ,0.10557581771446366,12.0,38.7,229.1,13,2010-01-23,01055
2004103089,ライトザキャンドル,0.10557581771446366,18.0,36.9,23.9,13,2010-01-23,01102
2007105185,バリシュニコフ,1.0,5.0,40.3,5.2,3,2010-01-23,00711
2004101704,トシセント,0.0,5.0,36.8,5.3,3,2010-01-23,00682
2002107082,ゲットクール,0.10557581771446366,15.0,36.7,439.4,16,2010-01-23,01062
2007106510,ミッキーサティーヌ,0.10557581771446366,15.0,40.7,29.1,7,2010-01-23,00666
2006105573,クリノアツヒメ,0.10557581771446366,17.0,38.9,310.4,16,2010-01-23,00709
2002103460,ファイトザパワー,0.10557581771446366,11.0,35.3,168.4,15,2010-01-23,00682
2007100453,ガーデン,0.0,14.0,40.4,55.8,10,2010-01-23,00682
2005106121,メイショウセラヴィ,0.10557581771446366,15.0,37.5,236.0,15,2010-01-23,01015
2003106392,フミノウインダム,0.10557581771446366,15.0,36.6,86.5,12,2010-01-23,01032
2007106487,トーセンアマテラス,0.10557581771446366,14.0,43.6,552.2,16,2010-01-23,01092
2005105413,マイネルローゼン,0.10557581771446366,9.0,35.7,13.2,7,2010-01-23,00732
2007100969,セイインディア,0.0,10.0,37.0,47.4,11,2010-01-23,00836
2007106754,オウシュウヒット,0.10557581771446366,13.0,36.7,237.2,17,2010-01-23,01125
2006105742,シンゼンオオジ,0.0,11.0,35.3,10.7,5,2010-01-23,00718
2004100021,テーオークレバー,0.10557581771446366,12.0,40.6,54.0,9,2010-01-23,01124
2003110262,コアレスストーム,0.10557581771446366,13.0,36.1,25.3,11,2010-01-23,01025
2005106653,メラトニン,0.10557581771446366,17.0,37.3,93.9,18,2010-01-23,01011
2006109295,テイエムテンガネ,0.10557581771446366,16.0,37.7,353.0,18,2010-01-23,00719
2006110149,リアライズナッシュ,0.10557581771446366,10.0,37.7,319.4,13,2010-01-23,00684
2006103108,ウィローパドック,0.10557581771446366,16.0,43.0,55.3,11,2010-01-23,05447
2006101148,ショーファイトダダ,0.10557581771446366,13.0,38.3,70.5,10,2010-01-23,01032
2003100395,アルタントプチ,0.10557581771446366,14.0,40.7,210.3,14,2010-01-23,01112
2007101554,ゴールドリマンド,0.10557581771446366,16.0,40.2,315.9,16,2010-01-23,00674
2006100643,メルシーレインボー,0.10557581771446366,16.0,41.0,223.3,12,2010-01-23,01037
2005106269,グラティテュード,0.10557581771446366,16.0,37.1,424.7,16,2010-01-23,01113
2007103484,エクセレントラック,0.10557581771446366,11.0,41.4,105.6,12,2010-01-24,01113
2005101897,トーアゲッコウ,0.10557581771446366,15.0,39.3,169.5,14,2010-01-24,01081
2005106598,メイショウシャオウ,0.10557581771446366,15.0,37.4,66.7,14,2010-01-24,01019
